Song Title,Song Artist,Beat,BPM,Source,Genre
7 Nation Army,White Stripes,Beat Buddy: TangoBeat Buddy Mini: TangoBeat Buddy Mini 2: Tango,105,Default Library,Rock
A Boy Named Sue,Johnny Cash,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,102,Default Library,Country
Achy Breaky Heart,Billy Ray Cyrus,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,126,Default Library,Country
After Dark,Tito y Tarantula,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,101,Default Library,Blues
All along the Watchtower,Jimi Hendrix,Beat Buddy: Oldie 2- 4 on snareBeat Buddy Mini 2: Oldie 2- 4 on snare,105,Default Library,Rock
All The Small Things,Blink 182,Beat Buddy: Punk 1Beat Buddy Mini: Punk 1Beat Buddy Mini 2: Punk 1,164,Default Library,Punk
American Pie,Don McLean,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,139,Default Library,Rock
And I Love Her,Beatles,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,112,Default Library,Ballad
And It Stoned Me,Van Morrison,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,72,Default Library,Country
Don't You Worry Child,Swedish House Mafia,Beat Buddy: Techno 1Beat Buddy Mini: Techno 1Beat Buddy Mini 2: Techno 1,120,Default Library,House
Low,Cracker,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,85,Default Library,Rock
Californication,Red Hot Chili Peppers,Beat Buddy: Pop 1- 16thsBeat Buddy Mini: Pop 1Beat Buddy Mini 2: Pop 1- 16ths,96,Default Library,Rock
Under the bridge,Red Hot Chili Peppers,Beat Buddy: Pop 8- 8thsBeat Buddy Mini 2: Pop 8- 8ths,82,Default Library,Rock
Yellow,Coldplay,Beat Buddy: Ballad 3,87,Default Library,Rock
Hotel California,Eagles,Beat Buddy: Ballad 2,68,Default Library,Rock
She will be loved,Maroon 5,Beat Buddy: Rock 7Beat Buddy Mini 2: Rock 7,100,Default Library,Rock
Rotten Apple,Alice in Chains,Beat Buddy: Ballad 1Beat Buddy Mini: Perc 3Beat Buddy Mini 2: Ballad 1,66,Default Library,Rock
Polly,Nirvana,Beat Buddy: Oldie 5- Bum cha ka moreBeat Buddy Mini: Oldie 4Beat Buddy Mini 2: Oldie 5- Bum cha ka more,115,Default Library,Rock
Dumb,Nirvana,Beat Buddy: Oldie 6Beat Buddy Mini: Oldie 5Beat Buddy Mini 2: Oldie 6,100,Default Library,Rock
Comfortably Numb,Pink Floyd,Beat Buddy: Ballad 1Beat Buddy Mini: Perc 3Beat Buddy Mini 2: Ballad 1,63,Default Library,Rock
Nothing Else Matters,Metallica,Beat Buddy: Blues 7- 6/8Beat Buddy Mini 2: Blues 7- 6/8,69,Default Library,Rock
Plush,Stone Temple Pilots,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,72,Default Library,Rock
Today,Smashing Pumpkins,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,85,Default Library,Rock
Black,Pearl jam,Beat Buddy: Ballad 1Beat Buddy Mini: Perc 3Beat Buddy Mini 2: Ballad 1,70,Default Library,Rock
Iris,Goo Goo Dolls,Beat Buddy: Blues 5- 6/8Beat Buddy Mini: Blues 3Beat Buddy Mini 2: Blues 5- 6/8,70,Default Library,Rock
Creep,Stone Temple Pilots,Beat Buddy: Ballad 2,55,Default Library,Rock
Boulevard of Broken Dreams,Green Day,Beat Buddy: Rock 12Beat Buddy Mini 2: Rock 12,78,Default Library,Rock
When I Come Around,Greenday,Beat Buddy: Punk 5Beat Buddy Mini: Punk 5Beat Buddy Mini 2: Punk 5,100,Default Library,Punk
Goodbye Moon Men,Rick and Morty,Beat Buddy: Oldie 2- 4 on snareBeat Buddy Mini 2: Oldie 2- 4 on snare,68,Default Library,Ballad
Someday,Sugar Ray,Beat Buddy: Pop-Rock Str8Beat Buddy Mini 2: Pop-Rock Str8,103,Default Library,Rock
Before we Disappear,Chris Cornell,Beat Buddy: Pop 8- 8thsBeat Buddy Mini 2: Pop 8- 8ths,74,Default Library,Ballad
Lightning Crashes,Live,Beat Buddy: Brushes 2- Str 16thsBeat Buddy Mini: Brushes 2Beat Buddy Mini 2: Brushes 2- Str 16ths,88,Default Library,Rock
I am the Highway,Audioslave,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,87,Default Library,Rock
Sultans of Swing,Dire Straits,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,148,Default Library,Rock
Superstition,Stevie Wonder,Beat Buddy: Rock 11Beat Buddy Mini 2: Rock 11,102,Default Library,Funk
Another Brick in the Wall,Pink Floyd,Beat Buddy: Pop 6- 8thsBeat Buddy Mini: Pop 3Beat Buddy Mini 2: Pop 6- 8ths,104,Default Library,Rock
Baby I Love Your Way,Peter Frampton,Beat Buddy: Pop 1- 16thsBeat Buddy Mini: Pop 1Beat Buddy Mini 2: Pop 1- 16ths,83,Default Library,Pop
Black Magic Woman,Santana,Beat Buddy: Cuban Son (2-3)Beat Buddy Mini: CubanSonBeat Buddy Mini 2: Cuban Son (2-3),126,Default Library,Rock
Bad Bad Leroy Brown,Jim Croce,Beat Buddy: Country 1- ShuffleBeat Buddy Mini: Country 1Beat Buddy Mini 2: Country 1- Shuffle,144,Default Library,Country
Badfish,Sublime,Beat Buddy: Reggae 1- backbeatBeat Buddy Mini 2: Reggae 1- backbeat,94,Default Library,Ska
Billie Jean,Michael Jackson,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,100,Default Library,Pop
"Bye, Bye, Bye",NSYNC,Beat Buddy: Pop 1- 16thsBeat Buddy Mini: Pop 1Beat Buddy Mini 2: Pop 1- 16ths,100,Default Library,Pop
As Long as I See The Light,Creedence Clearwater Revival,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,65,Default Library,Rock
Baby's In Black,The Beatles,Beat Buddy: Odd Time 3- 6/8Beat Buddy Mini 2: Odd Time 3- 6/8,104,Default Library,Rock
Bad Moon Rising,Creedence Clearwater Revival,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,170,Default Library,Rock
Band On The Run,Wings,Beat Buddy: Brushes 1- Str 8Beat Buddy Mini: Brushes 1Beat Buddy Mini 2: Brushes 1- Str 8,130,Default Library,Rock
